1 2 3 A
1 2 9 A
1 4 8 A
1 5 6 B
1 6 2 A
1 6 5 A
1 6 7 A
1 7 2 A
1 7 4 A
1 7 9 A
1 7 10 B
1 8 4 A
1 10 4 A
2 1 8 B
2 2 2 A
2 2 8 A
2 3 6 A
2 3 10 B
2 5 3 A
2 6 6 B
2 6 8 A
2 7 5 B
2 8 5 A
2 9 3 A
2 9 8 A
3 1 7 B
3 2 2 A
3 2 3 B
3 2 7 A
3 2 8 A
3 3 4 A
3 3 6 A
3 5 4 A
3 5 7 B
3 6 3 B
3 8 2 A
3 8 8 A
3 9 8 A
3 10 4 A
3 10 7 A
4 1 2 A
4 2 3 B
4 2 6 B
4 3 5 B
4 4 1 A
4 4 5 A
4 4 6 A
4 5 8 B
4 6 3 A
4 7 6 A
4 7 10 A
4 8 8 B
4 9 5 A
4 9 8 B
4 10 1 A
5 1 3 B
5 1 9 A
5 4 3 B
5 5 6 B
5 6 2 A
5 7 6 B
5 8 1 A
5 8 2 A
5 9 4 A
5 9 7 A
6 1 1 B
6 1 3 A
6 2 7 B
6 3 3 A
6 3 5 B
6 3 10 B
6 4 2 B
6 8 9 B
6 9 3 A
6 9 9 B
6 10 5 B
7 1 1 B
7 1 2 A
7 3 1 B
7 4 5 A
7 4 9 B
7 5 2 A
7 5 3 A
7 5 4 B
7 5 9 B
7 6 5 B
7 8 1 B
7 8 2 A
7 9 3 B
7 10 1 A
7 10 3 A
7 10 4 A
7 10 9 A
8 3 6 B
8 4 8 A
8 7 2 A
8 7 3 B
8 8 4 A
8 8 8 B
8 10 4 A
8 10 10 B
9 2 1 B
9 2 3 A
9 2 8 A
9 3 1 A
9 3 5 B
9 4 10 B
9 8 1 B
9 8 7 A
9 8 10 A
10 1 5 A
10 2 1 B
10 2 3 A
10 3 10 A
10 6 1 B
10 7 3 A
10 7 8 B
10 7 9 B
10 8 9 B
10 8 10 A
10 9 2 B
10 9 6 A
