1 2 3 B
1 5 2 B
1 6 2 B
1 6 4 B
1 6 10 B
1 9 9 A
2 2 9 A
2 3 4 A
2 3 8 A
2 4 7 A
2 5 8 B
2 6 7 B
2 7 1 B
2 7 4 A
2 7 7 A
2 7 9 A
2 8 10 B
2 9 8 B
2 9 9 A
2 10 4 A
2 10 9 B
3 1 4 B
3 1 8 B
3 3 2 A
3 3 7 B
3 3 10 B
3 4 2 B
3 5 6 A
3 6 2 A
3 6 4 B
3 8 2 B
3 9 8 B
3 9 9 A
4 2 4 B
4 3 1 B
4 3 4 A
4 4 2 A
4 4 10 A
4 5 3 A
4 6 7 A
4 7 2 A
4 7 4 B
4 8 4 A
4 8 9 B
4 9 4 A
4 10 7 B
5 2 2 B
5 3 1 A
5 3 8 B
5 3 10 B
5 4 3 A
5 4 4 B
5 5 2 B
5 5 6 B
5 6 5 A
5 9 5 A
5 9 8 B
5 10 5 B
5 10 8 B
6 1 1 B
6 2 1 A
6 2 5 B
6 2 6 B
6 3 1 B
6 4 4 A
6 4 8 B
6 5 9 B
6 6 2 A
6 7 4 B
6 7 6 A
6 7 9 B
6 8 6 A
6 9 3 A
6 9 9 A
6 10 7 B
6 10 8 B
6 10 10 B
7 2 7 B
7 2 8 A
7 2 10 B
7 3 10 A
7 5 8 A
7 6 1 B
7 6 2 B
7 7 3 B
7 7 7 B
7 8 2 A
7 8 7 A
7 8 10 B
7 9 5 A
7 10 4 B
8 3 2 A
8 4 9 B
8 5 1 B
8 5 5 A
8 5 6 A
8 5 8 A
8 6 2 A
8 6 6 A
8 7 2 A
8 7 6 B
8 7 7 A
8 8 1 A
8 8 2 A
8 8 4 A
8 9 5 A
8 9 8 B
8 9 10 A
8 10 3 A
8 10 4 A
8 10 9 A
9 1 2 A
9 1 9 B
9 3 8 A
9 3 9 A
9 3 10 A
9 4 8 A
9 4 9 A
9 5 5 A
9 5 8 A
9 6 2 A
9 7 1 B
9 8 5 A
9 8 6 B
9 8 10 A
9 9 2 B
9 9 7 B
9 10 3 A
9 10 7 B
9 10 9 B
10 1 3 B
10 1 7 B
10 2 4 B
10 3 6 B
10 3 9 B
10 3 10 B
10 4 3 A
10 4 4 A
10 4 6 B
10 4 9 B
10 6 5 A
10 6 7 A
10 7 1 B
10 7 4 A
10 7 10 B
10 8 9 A
10 9 6 A
10 9 8 A
10 10 2 A
10 10 6 B
10 10 7 B
10 10 8 B
