1 2 3 B
1 2 8 A
1 5 5 B
1 6 2 B
1 8 10 A
1 9 4 A
1 9 10 B
2 1 7 B
2 1 8 A
2 2 10 B
2 3 3 A
2 5 2 A
2 5 6 B
2 6 5 A
2 6 7 B
2 7 2 B
2 7 4 B
2 8 8 A
2 8 9 A
2 10 9 B
3 3 4 B
3 3 7 B
3 4 1 B
3 4 2 B
3 4 4 A
3 4 7 A
3 5 6 A
3 6 1 B
3 6 2 B
3 6 9 A
3 6 10 B
3 7 2 A
3 8 8 B
3 9 7 B
3 9 8 A
4 2 4 A
4 2 5 B
4 2 10 B
4 3 3 A
4 4 3 A
4 5 5 A
4 7 8 B
4 7 9 B
4 9 2 B
4 9 8 B
4 10 4 A
4 10 7 B
5 1 1 B
5 3 2 A
5 4 3 A
5 4 4 A
5 4 9 A
5 5 5 B
5 6 6 A
5 7 3 B
5 8 4 A
5 10 7 B
6 1 1 A
6 2 3 B
6 2 4 B
6 2 6 B
6 3 1 B
6 3 7 B
6 4 6 B
6 5 5 A
6 5 7 A
6 5 9 B
6 6 3 A
6 6 7 B
6 7 6 A
6 7 9 A
6 8 6 A
6 8 10 B
6 9 6 A
6 9 8 B
6 10 6 B
6 10 8 B
7 2 7 B
7 2 8 A
7 2 10 B
7 3 8 B
7 3 10 A
7 5 1 B
7 5 2 B
7 6 2 B
7 7 1 B
7 7 4 A
7 7 6 A
7 8 1 A
7 8 9 B
7 9 5 A
7 10 3 A
8 1 7 B
8 3 9 A
8 5 2 A
8 5 10 B
8 6 5 A
8 6 6 A
8 7 5 A
8 7 6 A
8 7 8 A
8 8 1 A
8 8 2 A
8 8 5 B
8 8 9 B
8 9 1 B
8 9 3 A
8 9 5 A
8 9 10 A
8 10 6 A
8 10 7 A
9 1 3 A
9 2 3 B
9 2 8 B
9 3 3 A
9 3 8 A
9 3 9 A
9 4 1 B
9 4 6 A
9 4 10 A
9 6 1 B
9 6 4 A
9 7 2 A
9 7 7 B
9 7 9 B
9 9 7 A
9 9 8 B
9 9 9 A
9 10 1 A
9 10 4 B
9 10 8 B
10 2 3 B
10 3 8 A
10 3 9 B
10 3 10 B
10 4 1 A
10 4 5 B
10 4 6 B
10 5 1 B
10 5 4 A
10 5 6 A
10 5 9 B
10 6 8 A
10 7 5 A
10 8 5 A
10 8 9 A
10 10 4 A
10 10 6 B
10 10 7 B
10 10 8 B
10 10 9 A
10 10 10 B
