1 2 3 B
1 2 7 A
1 4 4 B
1 4 6 B
1 4 9 B
1 7 7 A
1 9 5 B
2 1 8 A
2 3 3 B
2 3 9 B
2 5 3 A
2 7 3 A
2 9 3 B
2 10 8 A
2 10 9 A
3 1 2 A
3 2 3 B
3 2 4 B
3 3 2 A
3 4 1 B
3 4 3 B
3 6 1 B
3 6 5 B
3 6 8 B
3 8 6 B
3 8 8 A
3 9 9 B
3 10 4 A
4 1 2 A
4 1 3 A
4 2 6 B
4 3 7 A
4 5 9 A
4 6 6 B
4 7 6 B
4 8 4 B
4 8 6 B
4 9 8 B
4 10 1 B
4 10 2 B
5 1 2 B
5 3 1 A
5 3 8 A
5 3 9 A
5 4 3 A
5 4 8 B
5 6 2 B
5 6 3 B
5 6 4 B
5 7 8 B
5 8 6 B
5 9 6 B
5 10 1 B
5 10 4 A
6 1 1 A
6 1 5 B
6 1 6 A
6 2 4 B
6 2 5 B
6 2 9 B
6 5 2 B
6 5 6 A
6 6 8 B
6 7 1 B
6 8 10 B
6 9 5 A
6 10 5 A
6 10 6 A
7 1 6 B
7 2 3 B
7 3 2 B
7 4 10 A
7 5 2 A
7 5 5 A
7 6 3 B
7 6 10 A
7 10 10 A
8 1 6 A
8 2 9 B
8 3 3 A
8 5 2 A
8 5 6 B
8 5 7 B
8 6 4 B
8 7 1 B
8 8 5 A
8 10 10 B
9 3 10 A
9 4 8 B
9 5 3 B
9 6 1 B
9 6 2 B
9 6 7 B
9 7 3 A
9 7 6 B
9 7 9 A
9 8 4 B
9 9 2 B
9 9 7 B
9 10 1 B
10 2 8 A
10 6 8 A
10 7 1 A
10 7 2 B
10 8 7 B
10 9 9 A
10 9 10 A
10 10 10 A
