1 3 5 B
1 4 5 B
1 5 2 B
1 5 5 A
1 5 9 A
1 6 1 B
1 6 4 B
1 6 9 A
1 6 10 B
1 7 3 B
1 8 8 B
1 9 5 B
1 9 6 B
1 9 10 B
1 10 6 B
1 10 7 A
1 10 8 A
2 1 9 A
2 2 2 A
2 2 4 A
2 2 5 B
2 2 10 A
2 4 4 B
2 4 5 B
2 6 6 B
3 1 6 B
3 2 1 A
3 2 6 B
3 3 4 B
3 3 8 B
3 3 10 A
3 4 1 B
3 4 5 A
3 5 1 A
3 5 9 B
3 5 10 A
3 9 1 A
3 10 4 B
4 2 2 B
4 2 7 B
4 3 5 B
4 3 6 B
4 3 7 B
4 4 1 A
4 4 2 B
4 5 3 A
4 5 9 B
4 7 10 B
4 8 3 B
4 10 9 A
5 1 1 B
5 2 6 A
5 3 1 B
5 3 5 A
5 4 1 A
5 4 5 A
5 6 2 B
5 7 1 B
5 7 2 B
5 7 4 B
5 7 5 A
5 7 6 A
5 7 8 A
5 10 2 B
6 3 8 B
6 4 3 B
6 5 1 B
6 5 5 B
6 6 1 A
6 6 7 A
6 8 3 B
6 8 4 B
6 8 8 A
6 9 9 B
6 10 2 A
6 10 7 B
6 10 8 B
7 1 1 B
7 1 3 B
7 1 7 B
7 2 7 A
7 2 8 A
7 4 7 A
7 5 2 A
7 5 10 B
7 6 1 A
7 6 2 B
7 6 8 A
7 7 3 A
7 7 4 B
7 7 8 A
7 7 10 B
7 8 4 B
7 8 6 A
7 8 7 A
8 2 6 A
8 2 8 A
8 5 3 B
8 5 4 A
8 5 8 B
8 6 5 B
8 7 3 B
8 7 7 A
8 7 10 A
8 8 3 A
8 8 4 B
8 8 8 A
9 1 9 A
9 2 1 B
9 2 3 A
9 2 4 B
9 2 8 A
9 3 1 B
9 3 2 A
9 3 8 B
9 4 7 B
9 4 9 B
9 5 2 B
9 5 9 B
9 5 10 B
9 6 5 A
9 6 10 A
9 7 10 A
9 8 3 B
9 8 5 B
9 8 8 B
9 8 10 A
9 9 2 B
9 9 3 B
9 9 4 B
9 10 5 A
10 3 3 A
10 4 6 B
10 4 8 A
10 5 1 B
10 5 9 A
10 6 9 B
10 6 10 B
10 9 9 A
10 10 8 A
