1 2 3 B
1 2 7 A
1 4 2 B
1 4 5 B
1 6 3 B
1 6 7 A
1 8 2 B
1 10 5 B
2 1 1 A
2 1 2 A
2 1 3 B
2 2 1 B
2 3 8 B
2 4 3 A
2 4 8 B
2 7 6 A
2 10 4 A
3 3 4 B
3 3 7 A
3 4 2 A
3 5 7 A
3 6 2 B
3 6 6 B
3 7 4 B
3 8 4 B
3 8 7 B
3 9 10 A
4 2 7 A
4 2 10 A
4 3 2 A
4 3 3 A
4 3 6 B
4 4 3 B
4 5 7 B
4 6 2 B
4 6 9 A
4 7 2 B
4 7 6 B
4 8 7 A
4 9 9 B
4 10 1 B
5 2 1 A
5 2 2 B
5 2 3 B
5 2 9 B
5 3 3 B
5 4 7 A
5 5 4 B
5 6 2 B
5 6 4 B
5 7 1 B
5 8 6 B
5 9 1 B
5 9 2 B
5 9 4 A
6 1 5 B
6 2 4 B
6 5 7 B
6 7 8 B
6 7 9 A
6 9 8 A
6 9 9 B
6 10 5 B
7 2 5 A
7 6 4 B
7 6 9 B
7 7 10 A
7 9 10 A
7 10 4 A
8 1 7 A
8 2 3 A
8 2 7 B
8 2 10 B
8 4 1 A
8 4 10 A
8 5 1 B
8 5 4 B
8 6 4 A
8 8 5 A
8 9 2 B
9 5 4 B
9 5 7 B
9 6 2 B
9 8 3 A
9 9 10 A
9 10 2 B
9 10 7 B
9 10 8 B
10 3 8 A
10 3 10 A
10 5 3 B
10 7 1 A
10 7 6 B
10 8 1 B
10 8 7 B
10 8 8 A
