1 2 3 A
1 2 6 A
1 2 7 A
1 3 4 A
1 3 5 A
1 3 7 A
1 4 1 A
1 5 3 A
1 5 5 A
1 5 8 A
1 6 3 A
1 6 4 A
1 6 7 A
1 6 9 A
1 7 2 A
1 7 5 A
1 8 4 A
1 8 5 A
1 9 2 A
1 9 6 A
1 9 8 A
1 9 9 A
1 10 1 A
1 10 2 A
1 10 9 A
2 1 10 A
2 2 1 A
2 2 6 A
2 2 8 A
2 3 2 A
2 3 6 A
2 3 7 A
2 4 3 A
2 4 4 A
2 4 5 A
2 5 1 A
2 5 3 A
2 5 5 A
2 5 7 A
2 6 5 A
2 6 7 A
2 6 8 A
2 6 9 A
2 6 10 A
2 7 2 A
2 7 3 A
2 7 5 A
2 7 6 A
2 7 10 A
2 8 6 A
2 8 10 A
2 9 3 A
2 9 4 A
2 9 7 A
2 10 1 A
2 10 3 A
2 10 5 A
2 10 9 A
2 10 10 A
3 1 3 A
3 1 5 A
3 2 2 A
3 2 3 A
3 2 9 A
3 3 2 A
3 3 3 A
3 3 4 A
3 3 8 A
3 4 3 A
3 4 4 A
3 5 1 A
3 5 7 A
3 6 3 A
3 7 6 A
3 7 9 A
3 7 10 A
3 8 6 A
3 8 8 A
3 9 10 A
3 10 4 A
3 10 6 A
4 1 1 A
4 1 3 A
4 1 4 A
4 1 7 A
4 1 9 A
4 2 3 A
4 2 4 A
4 2 8 A
4 3 3 A
4 3 5 A
4 3 6 A
4 3 8 A
4 4 2 A
4 4 3 A
4 4 4 A
4 4 7 A
4 4 8 A
4 4 9 A
4 5 1 A
4 5 3 A
4 6 1 A
4 6 4 A
4 6 6 A
4 6 8 A
4 7 6 A
4 7 7 A
4 7 9 A
4 8 3 A
4 8 4 A
4 8 6 A
4 9 2 A
4 9 3 A
4 9 5 A
4 9 7 A
4 9 10 A
4 10 2 A
4 10 6 A
4 10 7 A
5 1 1 A
5 1 4 A
5 1 7 A
5 1 9 A
5 2 5 A
5 2 6 A
5 3 1 A
5 4 3 A
5 4 4 A
5 4 9 A
5 5 3 A
5 6 1 A
5 6 6 A
5 6 7 A
5 6 10 A
5 8 2 A
5 9 2 A
5 9 3 A
5 9 4 A
5 9 8 A
5 9 9 A
5 9 10 A
5 10 5 A
6 1 7 A
6 2 4 A
6 2 7 A
6 3 8 A
6 3 10 A
6 4 1 A
6 4 2 A
6 4 5 A
6 5 1 A
6 5 5 A
6 5 10 A
6 6 2 A
6 6 5 A
6 6 6 A
6 8 1 A
6 8 3 A
6 8 5 A
6 9 6 A
6 9 9 A
6 10 2 A
6 10 4 A
6 10 5 A
7 1 1 A
7 1 2 A
7 1 3 A
7 1 4 A
7 1 5 A
7 1 6 A
7 2 3 A
7 3 2 A
7 3 3 A
7 3 5 A
7 3 7 A
7 5 2 A
7 5 8 A
7 5 10 A
7 6 8 A
7 7 3 A
7 8 1 A
7 8 3 A
7 8 10 A
7 9 8 A
7 10 10 A
8 1 10 A
8 2 7 A
8 3 2 A
8 3 5 A
8 4 1 A
8 4 2 A
8 4 4 A
8 4 7 A
8 5 1 A
8 5 3 A
8 5 5 A
8 5 8 A
8 6 7 A
8 6 9 A
8 7 1 A
8 7 2 A
8 7 3 A
8 8 3 A
8 8 4 A
8 8 8 A
8 9 1 A
8 9 3 A
8 9 9 A
8 9 10 A
8 10 4 A
8 10 7 A
8 10 10 A
9 1 1 A
9 1 6 A
9 1 7 A
9 1 10 A
9 2 2 A
9 2 3 A
9 2 4 A
9 2 9 A
9 3 3 A
9 3 10 A
9 4 2 A
9 4 4 A
9 4 6 A
9 4 7 A
9 4 9 A
9 5 2 A
9 5 5 A
9 5 7 A
9 5 9 A
9 5 10 A
9 6 1 A
9 6 8 A
9 6 9 A
9 7 9 A
9 8 2 A
9 8 6 A
9 9 1 A
9 9 4 A
9 9 7 A
9 9 10 A
9 10 4 A
9 10 7 A
9 10 10 A
10 1 2 A
10 1 4 A
10 1 5 A
10 2 3 A
10 3 3 A
10 3 4 A
10 3 8 A
10 3 10 A
10 4 9 A
10 5 1 A
10 6 3 A
10 6 8 A
10 6 9 A
10 6 10 A
10 7 4 A
10 7 6 A
10 7 7 A
10 10 4 A
10 10 5 A
10 10 6 A
10 10 9 A
