1 2 3 B
1 2 5 A
1 3 1 B
1 3 7 A
1 3 9 A
1 4 1 B
1 4 3 A
1 4 4 B
1 4 10 B
1 6 6 B
1 7 1 A
1 7 10 B
1 8 10 B
2 2 6 A
2 3 2 A
2 3 8 A
2 4 6 B
2 4 10 B
2 5 4 A
2 5 5 A
2 6 4 B
2 6 6 A
2 8 3 B
2 8 5 A
2 8 6 B
2 8 7 A
2 9 5 B
2 10 1 B
2 10 2 B
2 10 6 B
2 10 7 B
2 10 9 B
3 1 8 B
3 2 7 B
3 4 1 A
3 4 2 A
3 4 6 A
3 5 4 B
3 5 5 A
3 5 6 B
3 5 8 B
3 6 1 A
3 6 9 A
3 7 2 B
3 7 7 B
3 7 8 A
3 8 2 A
3 9 7 A
3 9 9 A
3 10 2 B
3 10 5 B
4 1 6 B
4 1 9 A
4 1 10 B
4 2 1 A
4 2 4 A
4 2 5 B
4 2 6 A
4 2 8 B
4 3 4 A
4 4 2 B
4 4 8 B
4 5 4 A
4 5 5 A
4 5 7 B
4 7 7 A
4 7 8 A
4 8 2 A
4 8 7 A
4 9 10 A
4 10 3 B
4 10 4 B
4 10 6 A
4 10 8 B
5 1 4 A
5 1 10 A
5 2 9 A
5 3 10 B
5 4 1 B
5 4 3 B
5 5 5 A
5 5 6 A
5 6 4 B
5 7 3 B
5 7 5 A
5 7 8 A
5 9 3 B
5 9 4 B
5 10 1 B
5 10 4 B
5 10 8 A
6 1 5 B
6 2 2 A
6 2 3 B
6 3 5 B
6 4 2 A
6 4 3 A
6 4 7 A
6 5 10 B
6 6 5 A
6 7 4 A
6 8 3 A
6 8 6 A
6 9 1 A
6 9 6 B
6 9 9 B
6 10 5 A
6 10 8 B
7 1 1 A
7 1 3 A
7 1 8 A
7 1 9 A
7 2 5 A
7 2 6 A
7 3 7 B
7 4 3 B
7 4 10 B
7 5 1 A
7 5 10 B
7 6 8 A
7 7 2 A
7 7 6 B
7 8 2 A
7 9 7 A
7 10 8 B
8 1 6 A
8 1 7 A
8 1 9 A
8 2 2 A
8 2 5 A
8 2 7 A
8 3 4 A
8 3 10 A
8 4 9 B
8 5 5 B
8 5 7 A
8 6 5 B
8 6 8 B
8 7 4 A
8 8 5 B
8 8 9 A
8 9 1 B
8 10 1 B
8 10 3 B
8 10 6 B
9 1 2 A
9 1 7 B
9 2 3 A
9 4 4 B
9 4 7 A
9 4 8 B
9 5 10 B
9 6 5 B
9 7 9 B
9 8 1 B
9 8 5 B
9 8 6 A
9 8 7 A
9 8 9 B
9 9 1 A
9 9 10 A
10 1 4 A
10 1 5 A
10 2 1 A
10 2 8 B
10 3 1 A
10 3 4 A
10 3 6 A
10 3 7 B
10 3 10 A
10 4 8 A
10 4 10 A
10 5 1 B
10 5 3 B
10 5 4 A
10 5 5 B
10 6 5 A
10 6 10 B
10 7 4 A
10 8 8 A
10 9 5 A
10 10 7 B
