1 2 3 A
1 2 6 A
1 3 5 A
1 3 6 A
1 3 9 B
1 4 9 B
1 5 7 B
1 6 6 A
1 6 9 B
1 7 3 A
1 8 2 A
1 8 4 B
1 8 10 A
1 9 5 A
1 9 9 A
2 1 2 A
2 1 7 B
2 2 7 B
2 5 3 A
2 6 1 B
2 6 2 A
2 6 3 A
2 6 5 A
2 7 4 B
2 9 1 B
2 10 2 A
3 2 3 B
3 2 6 B
3 3 2 B
3 3 10 A
3 4 1 B
3 4 3 B
3 4 6 B
3 4 7 B
3 5 3 B
3 5 6 A
3 5 7 B
3 7 4 B
3 7 7 B
3 8 6 B
3 9 4 A
3 9 9 B
3 10 2 A
3 10 4 A
4 1 8 B
4 3 3 B
4 3 6 B
4 5 5 A
4 5 6 A
4 5 9 B
4 6 7 B
4 7 7 B
4 8 9 B
4 9 9 A
5 1 2 A
5 1 6 B
5 2 2 B
5 2 6 B
5 2 7 B
5 3 4 B
5 3 8 A
5 3 9 A
5 4 3 B
5 4 4 A
5 4 6 B
5 4 9 B
5 5 5 B
5 6 1 A
5 6 8 B
5 10 10 A
6 1 5 A
6 2 7 A
6 4 4 A
6 5 1 A
6 5 8 B
6 8 6 A
6 9 8 B
6 10 6 B
6 10 7 B
7 1 2 B
7 1 7 B
7 3 8 A
7 4 7 B
7 5 3 A
7 6 5 B
7 6 9 A
7 7 5 B
7 7 9 B
7 8 8 B
7 10 3 B
7 10 7 A
8 1 5 B
8 1 6 B
8 3 1 B
8 3 5 B
8 4 5 A
8 4 6 A
8 6 10 B
9 2 7 B
9 4 2 A
9 5 7 B
9 5 8 B
10 1 7 A
10 2 1 A
10 2 3 A
10 2 10 B
10 3 7 B
10 4 9 B
10 5 1 B
10 7 1 A
10 7 4 A
10 9 6 B
10 10 1 A
