1 2 3 B
1 2 6 B
1 4 8 A
1 4 9 B
1 5 2 A
1 5 4 B
1 5 8 B
1 6 1 B
1 8 8 B
2 1 8 B
2 3 2 B
2 4 5 A
2 4 9 A
2 5 2 B
2 5 3 B
2 5 7 B
2 6 6 B
2 6 9 A
2 9 4 A
2 9 5 A
3 1 3 B
3 1 6 B
3 1 9 B
3 2 6 A
3 3 5 A
3 5 8 B
3 7 2 A
3 8 5 A
4 2 2 B
4 3 7 B
4 4 9 A
4 6 2 B
4 8 3 B
4 10 4 B
4 10 5 B
4 10 8 B
5 2 5 B
5 3 1 A
5 3 2 B
5 3 4 B
5 4 10 B
5 7 4 B
5 7 6 B
5 7 7 A
5 7 8 B
5 8 6 A
6 1 4 B
6 1 6 A
6 2 5 B
6 4 5 A
6 5 6 A
6 5 10 A
6 6 1 B
6 6 3 B
6 8 3 B
6 9 3 A
6 9 5 B
6 10 2 A
6 10 4 A
7 1 5 B
7 2 9 A
7 3 1 A
7 3 5 B
7 3 10 B
7 4 6 A
7 4 8 B
7 5 1 B
7 5 4 A
7 7 1 B
7 7 4 B
7 7 9 B
7 8 5 A
7 9 2 B
7 10 9 B
8 1 8 B
8 1 10 A
8 2 2 B
8 2 7 B
8 3 2 B
8 3 8 B
8 3 9 B
8 4 5 B
8 6 7 B
8 8 4 A
8 8 8 A
8 8 9 B
8 10 3 B
9 1 2 A
9 1 6 B
9 5 1 B
9 5 7 B
9 6 3 A
9 7 3 A
9 7 6 B
9 8 10 A
9 9 3 B
9 9 6 B
10 1 8 B
10 1 10 A
10 3 5 B
10 4 9 B
10 4 10 B
10 5 10 B
10 6 3 A
10 6 6 B
10 7 4 B
10 8 10 B
10 9 5 B
10 9 6 B
10 10 4 B
10 10 10 A
